learn_step,loss
1344,0.0962
1345,0.1143
1346,0.0961
1347,0.1104
1348,0.0653
1349,0.0822
1350,0.0760
1351,0.0820
1352,48.0955
1353,0.1285
1354,0.2222
1355,0.5508
1356,0.3165
1357,0.0982
1358,0.1901
1359,0.1580
1360,0.0722
1361,0.1141
1362,0.0668
1363,0.1153
1364,0.1565
1365,0.1634
1366,0.1398
1367,0.1577
1368,0.1348
1369,47.5957
1370,0.1013
1371,0.0927
1372,0.0877
1373,0.0992
1374,0.0978
1375,0.1437
1376,0.1162
1377,0.1440
1378,0.1237
1379,0.1339
1380,0.1473
1381,0.1044
1382,0.1099
1383,0.1425
1384,0.1153
1385,0.0719
1386,0.0869
1387,0.1031
1388,0.0729
1389,0.0675
1390,0.0615
1391,0.1214
1392,0.1048
1393,41.9218
1394,0.1071
1395,45.4517
1396,0.1500
1397,42.0726
1398,0.1233
1399,0.1221
1400,0.0723
1401,0.1018
1402,0.0626
1403,0.1217
1404,18.1730
1405,0.0831
1406,0.1194
1407,0.0932
1408,0.1010
1409,0.1578
1410,0.0401
1411,0.1291
1412,0.0512
1413,41.9257
1414,0.0553
1415,0.1397
1416,0.1241
1417,0.0800
1418,0.1217
1419,0.1171
1420,0.0930
1421,0.2401
1422,0.1925
1423,0.1703
1424,0.0862
1425,0.1189
1426,0.1192
1427,0.0967
1428,0.1275
1429,0.0965
1430,0.1707
1431,0.1283
1432,0.1593
1433,0.1157
1434,0.0810
1435,0.0960
1436,0.0864
1437,0.1380
1438,0.1233
1439,0.0927
1440,0.1006
1441,7.9787
1442,0.1345
1443,0.0632
1444,0.1351
1445,53.5701
1446,0.1069
1447,0.0818
1448,0.1764
1449,0.0902
1450,0.1592
1451,11.5147
1452,0.0898
1453,0.0999
1454,0.1104
1455,0.0447
1456,0.1389
1457,0.0828
1458,0.1168
1459,0.1112
1460,46.3000
1461,0.1637
1462,0.0762
1463,0.1403
1464,0.0953
1465,0.0974
1466,0.0993
1467,0.0917
1468,0.1991
1469,0.1626
1470,0.0995
1471,0.2568
1472,0.1438
1473,0.0989
1474,0.1224
1475,0.1365
1476,0.0784
1477,0.0917
1478,0.0944
1479,0.1340
1480,0.1440
1481,0.0956
1482,0.1378
1483,0.0477
1484,0.1013
1485,0.0622
1486,0.1601
1487,0.1280
1488,0.1415
1489,0.1299
1490,34.2099
1491,0.1052
1492,0.1075
1493,0.1043
1494,0.0882
1495,0.1049
1496,0.0716
1497,0.0784
1498,0.1256
1499,0.1142
1500,0.0657
1501,11.7191
1502,0.1884
1503,0.1311
1504,0.1072
1505,0.1513
1506,0.0936
1507,0.0926
1508,0.1546
1509,0.0943
1510,0.1170
1511,0.0965
1512,0.1317
1513,0.1279
1514,0.1124
1515,0.1005
1516,0.1525
1517,0.0989
1518,0.1006
1519,0.0950
1520,0.1285
1521,0.0675
1522,0.1028
1523,0.1570
1524,46.9646
1525,0.1404
1526,0.1157
1527,0.1494
1528,0.1838
1529,35.3140
1530,0.1465
1531,0.1961
1532,0.2650
1533,0.2810
1534,0.1123
1535,0.1047
1536,0.1429
1537,0.1042
1538,0.1036
1539,0.1057
1540,0.1485
1541,0.1279
1542,0.0814
1543,0.1072
1544,0.1512
1545,0.0727
1546,0.1015
1547,0.1360
1548,0.1067
1549,53.7631
1550,0.1196
1551,0.1516
1552,0.1250
1553,0.0840
1554,0.1526
1555,0.1250
1556,0.2032
1557,45.1244
1558,0.6172
1559,32.4895
1560,0.0973
1561,0.1135
1562,0.1335
1563,51.2410
